OGLE-BLG-RRLYR-00002  15.843 16.799  0.30153381 0.00000067  5000.05809  0.286  0.155 4.957  0.093 3.897
OGLE-BLG-RRLYR-00007  15.252 16.149  0.26129176 0.00000052  5000.04267  0.181  0.113 4.825  0.000   -  
OGLE-BLG-RRLYR-00011  15.869 16.940  0.44196880 0.00000583  5000.33503  0.274  0.099 0.189  0.000   -  
OGLE-BLG-RRLYR-00012  15.319 16.334  0.25418932 0.00000065  5000.00018  0.204  0.064 4.443  0.083 5.101
OGLE-BLG-RRLYR-00013  15.232    -    0.25547716 0.00000098  5000.19732  0.218  0.137 4.504  0.061 2.622
OGLE-BLG-RRLYR-00015  15.469 16.493  0.31760682 0.00000040  5000.17949  0.236  0.104 5.056  0.042 3.786
OGLE-BLG-RRLYR-00017  15.569 16.515  0.29560942 0.00000037  5000.23487  0.312  0.195 4.776  0.113 2.881
OGLE-BLG-RRLYR-00018  15.678 16.623  0.27593054 0.00000097  5000.27193  0.287  0.162 4.839  0.101 3.365
OGLE-BLG-RRLYR-00022  15.957 16.933  0.23841203 0.00000040  5000.16042  0.241  0.138 4.500  0.085 3.408
OGLE-BLG-RRLYR-00023  15.714 16.669  0.35897750 0.00000108  5000.27194  0.237  0.048 5.781  0.038 4.507
OGLE-BLG-RRLYR-00024  15.578 16.589  0.33312803 0.00000111  5000.02177  0.283  0.069 5.465  0.064 4.962
OGLE-BLG-RRLYR-00026  16.179 17.389  0.32194691 0.00000079  5000.24379  0.253  0.090 4.889  0.055 4.373
OGLE-BLG-RRLYR-00028  16.423 17.776  0.28257685 0.00000067  5000.03644  0.295  0.197 4.899  0.062 3.146
OGLE-BLG-RRLYR-00032  15.573 16.801  0.32552209 0.00000104  5000.32369  0.251  0.082 5.249  0.081 4.130
OGLE-BLG-RRLYR-00033  14.693 15.738  0.32043630 0.00000082  5000.02924  0.251  0.102 5.076  0.097 4.193
OGLE-BLG-RRLYR-00035  15.707 16.769  0.38514498 0.00000315  5000.17246  0.260  0.082 5.345  0.065 4.385
OGLE-BLG-RRLYR-00036  15.763 16.635  0.34039361 0.00000088  5000.15916  0.263  0.201 5.086  0.074 3.341
OGLE-BLG-RRLYR-00037  16.231 17.384  0.31932469 0.00000088  5000.31893  0.256  0.147 4.894  0.071 4.153
OGLE-BLG-RRLYR-00038  16.307 17.363  0.25120360 0.00000055  5000.15445  0.251  0.139 4.602  0.084 3.395
OGLE-BLG-RRLYR-00040  14.826 15.995  0.32173527 0.00000073  5000.18395  0.257  0.097 5.112  0.067 4.355
OGLE-BLG-RRLYR-00044  15.906 16.990  0.27617205 0.00000029  5000.00260  0.294  0.174 4.787  0.099 2.842
OGLE-BLG-RRLYR-00048  15.342 16.709  0.34652275 0.00000280  5000.03823  0.304  0.086 5.029  0.062 4.609
OGLE-BLG-RRLYR-00051  15.642 16.841  0.34679296 0.00000316  5000.15164  0.274  0.107 6.190  0.087 5.263
OGLE-BLG-RRLYR-00053  16.382 17.846  0.33333528 0.00000115  5000.10893  0.291  0.114 5.251  0.091 4.334
OGLE-BLG-RRLYR-00057  16.021 17.057  0.32958200 0.00000099  5000.29738  0.283  0.113 5.023  0.071 4.334
OGLE-BLG-RRLYR-00065  15.844 16.933  0.37461401 0.00000343  5000.35537  0.274  0.057 4.852  0.102 4.936
OGLE-BLG-RRLYR-00071  16.085 17.254  0.32110209 0.00000092  5000.21469  0.261  0.097 4.950  0.081 4.309
OGLE-BLG-RRLYR-00075  16.917 18.054  0.31022066 0.00000123  5000.24813  0.282  0.199 4.893  0.088 3.276
OGLE-BLG-RRLYR-00076  16.230 17.472  0.26186740 0.00000066  5000.03717  0.264  0.157 4.806  0.000   -  
OGLE-BLG-RRLYR-00077  16.312 17.696  0.32915007 0.00000130  5000.05086  0.263  0.086 5.049  0.086 4.561
OGLE-BLG-RRLYR-00079  17.375 18.978  0.33353851 0.00000171  5000.07635  0.273  0.118 5.192  0.082 4.233
OGLE-BLG-RRLYR-00082  16.009 17.216  0.29870089 0.00000066  5000.03604  0.257  0.130 4.800  0.082 3.667
OGLE-BLG-RRLYR-00085  15.792 16.968  0.29831264 0.00000059  5000.24490  0.258  0.129 4.785  0.078 3.426
OGLE-BLG-RRLYR-00091  15.642 16.752  0.32678369 0.00000049  5000.17199  0.364  0.286 4.647  0.081 2.344
OGLE-BLG-RRLYR-00092  16.152 17.328  0.40008044 0.00000298  5000.32643  0.246  0.061 0.258  0.109 4.961
OGLE-BLG-RRLYR-00097  15.344 16.614  0.32723461 0.00000097  5000.11165  0.270  0.116 5.149  0.068 4.522
OGLE-BLG-RRLYR-00102  15.719 16.761  0.29603509 0.00000114  5000.22784  0.268  0.125 4.883  0.070 3.615
OGLE-BLG-RRLYR-00104  17.123 18.435  0.28322424 0.00000067  5000.02785  0.294  0.161 4.761  0.071 3.017
OGLE-BLG-RRLYR-00106  16.330 17.922  0.33583908 0.00000639  5000.01738  0.203  0.053 5.646  0.057 3.058
OGLE-BLG-RRLYR-00107  16.023 17.196  0.29950220 0.00000057  5000.08830  0.266  0.127 4.838  0.071 3.978
OGLE-BLG-RRLYR-00108  16.168 17.318  0.32010260 0.00000095  5000.23127  0.245  0.056 4.880  0.000   -  
OGLE-BLG-RRLYR-00115  15.745 16.823  0.27785342 0.00000104  5000.02317  0.280  0.122 4.885  0.077 3.843
OGLE-BLG-RRLYR-00118  16.403 17.743  0.30140079 0.00000080  5000.20792  0.309  0.234 4.801  0.084 2.582
OGLE-BLG-RRLYR-00120  16.170 17.564  0.38490400 0.00000950  5000.05058  0.253  0.080 4.272  0.125 3.858
OGLE-BLG-RRLYR-00124  16.211 17.333  0.29891382 0.00000077  5000.27185  0.263  0.124 4.914  0.065 3.764
OGLE-BLG-RRLYR-00126  15.458 16.633  0.35162582 0.00000222  5000.22571  0.290  0.041 4.987  0.090 4.685
OGLE-BLG-RRLYR-00131  16.796 18.193  0.32547858 0.00000113  5000.27602  0.256  0.089 4.965  0.097 4.230
OGLE-BLG-RRLYR-00132  16.389 17.656  0.30102106 0.00000149  5000.02869  0.313  0.087 5.161  0.132 3.722
OGLE-BLG-RRLYR-00134  16.055 17.370  0.25524548 0.00000317  5000.01075  0.262  0.183 4.557  0.081 1.629
OGLE-BLG-RRLYR-00137  15.657 16.831  0.31025161 0.00000083  5000.17041  0.284  0.127 4.633  0.078 3.897
OGLE-BLG-RRLYR-00140  16.001 17.396  0.32291375 0.00000097  5000.01819  0.261  0.099 4.976  0.059 4.262
OGLE-BLG-RRLYR-00142  15.789 16.904  0.29501773 0.00000220  5000.29201  0.306  0.137 4.544  0.000   -  
OGLE-BLG-RRLYR-00144  16.009 17.243  0.29043164 0.00000068  5000.25279  0.266  0.123 4.692  0.076 3.414
OGLE-BLG-RRLYR-00152  15.620 16.653  0.32149334 0.00000087  5000.09900  0.254  0.082 5.062  0.058 4.131
OGLE-BLG-RRLYR-00153  15.307 16.508  0.35028921 0.00000200  5000.19848  0.271  0.089 5.284  0.101 4.770
