object_id,catalog_type,region,file,sha256,n_observations,baseline_days,has_errors,candidate_rank,catalog_period,catalog_secondary_period
OGLE-GD-RRLYR-07703,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-07703.dat,2a4a97fe094a490fab8cae40d3483adfa05dd4b155296722f64831bb09ebc158,118,2266.7053300000007,True,382,0.68773099,
OGLE-GD-RRLYR-07738,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-07738.dat,89a987484883a58389cee9446cca1a0d7d2bc19e6dc732b835266e0a5c25ec6b,139,2266.70623,True,344,0.52998822,
OGLE-GD-RRLYR-07745,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-07745.dat,9807e153373ee4795c1201978d9ca67e3d0b74a1ad2d2e1bdba95f25220c48a9,95,2266.7053300000007,True,399,0.49392478,
OGLE-GD-RRLYR-07779,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-07779.dat,ec89b4584fc271f6684d26b5843c9561c41378d1f27cefe213514e6f36757449,135,2266.70543,True,141,0.47939148,
OGLE-GD-RRLYR-07866,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-07866.dat,465ee4b83186591ca71464d92f5bf34018badc83aa19e37193b957aae8297a9e,79,948.645559999999,True,210,0.52391412,
OGLE-GD-RRLYR-07870,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-07870.dat,7e4646d5e199479290c114a1f9eacce0d37b8c9bd6e91c88a35230fd2d52861f,105,948.6454600000006,True,300,0.61057924,
OGLE-GD-RRLYR-07895,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-07895.dat,593ea448e565accde1de9c10e645d6a23784b8be68f2c1af4029d49b9575ad63,105,948.6455700000006,True,403,0.63494087,
OGLE-GD-RRLYR-07936,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-07936.dat,a7f404e2ee5b3b03cc4a3c2e35d69d7a78e9d53ea81a3eb54f5e33d89ba83fa3,33,838.7273799999994,True,241,0.51297954,
OGLE-GD-RRLYR-07938,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-07938.dat,29358fa34b4530308f6e2876bcfc0ff0ec3c58b96698d68ddfa907400d85eede,125,2266.7054199999993,True,208,0.5503296,
OGLE-GD-RRLYR-07955,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-07955.dat,e0eeed35a2ab436cdc6a7e430cb49c18852097f5732998cf5be611a0e8a8265e,106,948.6467000000002,True,117,0.5797073,
OGLE-GD-RRLYR-07964,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-07964.dat,ae8fc830167bd0f050d51ab759155fdce8fa24f5df84eab876c3e83888d12bf3,120,2266.7054199999993,True,319,0.67044304,
OGLE-GD-RRLYR-08011,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-08011.dat,cd49b490a42e7b29ae31062b7d63c06647b88f68199d485aac0f89214b4baba0,105,948.6467400000001,True,152,0.79812521,
OGLE-GD-RRLYR-08031,RRab,GD,data/ogle_gd_500/photometry/OGLE-GD-RRLYR-08031.dat,002eb8404c7b3c2a1d1f1375e369d89fb4cc0fd7c9bc0650dc4d5e48c3a732fb,104,948.6467100000009,True,359,0.57358842,
