model,Classical full,Classical shape,JDR,full_minus_JDR,shape_minus_JDR
K-medoids,0.3992800331010761,0.3103385239482186,0.23841760986078755,0.16086242324028857,0.07192091408743104
K-means,0.41799599899690076,0.3400598474677206,0.23654139385710446,0.1814546051397963,0.10351845361061615
Average linkage,0.1058980723020039,0.1058980723020039,0.06375329210455166,0.04214478019745224,0.04214478019745224
DBSCAN,0.63402070674345,0.26538786081690746,0.24101334234847144,0.3930073643949786,0.024374518468436024
HDBSCAN,0.7315224988643483,0.2857175558793233,-0.019543000993660995,0.7510654998580093,0.3052605568729843
