representation,model,replicate,ari_stability_all,ari_stability_common_assigned,common_assigned_fraction,coverage,catalog_ari_subset
JDR,K-medoids,2,0.9915846611848795,0.9915846611848795,1.0,1.0,0.22936817792364692
JDR,K-means,2,0.6115334090635015,0.6115334090635015,1.0,1.0,0.22918807611756076
JDR,Average linkage,2,0.9397030111328366,0.9397030111328366,1.0,1.0,0.04723230781337505
JDR,DBSCAN,2,0.7371963739625897,0.36134174786940265,0.7799511002444988,0.78239608801956,0.1356922196698249
JDR,HDBSCAN,2,0.5110119635615308,0.832550535218193,0.4180929095354523,0.5354523227383863,-0.0263039331099535
Classical shape,K-medoids,2,0.9870624446703335,0.9870624446703335,1.0,1.0,0.3066613827975607
Classical shape,K-means,2,0.9383590054092686,0.9383590054092686,1.0,1.0,0.3583132057214127
Classical shape,Average linkage,2,0.9029136406099637,0.9029136406099637,1.0,1.0,0.10425112789774102
Classical shape,DBSCAN,2,0.8542466000890955,,0.7579462102689487,0.7775061124694377,0.31954252568326613
Classical shape,HDBSCAN,2,0.7699511039857591,0.9345110150902702,0.5794621026894865,0.6430317848410758,0.37438820926653094
Classical full,K-medoids,2,0.914064726428658,0.914064726428658,1.0,1.0,0.38974440924542636
Classical full,K-means,2,0.8803361547413476,0.8803361547413476,1.0,1.0,0.44668057268582445
Classical full,Average linkage,2,0.9490827633356658,0.9490827633356658,1.0,1.0,0.10863112258367269
Classical full,DBSCAN,2,0.9196652573856188,1.0,0.7481662591687042,0.7775061124694377,0.6217534137264464
Classical full,HDBSCAN,2,0.9396480573431445,0.9928139584364674,0.7946210268948656,0.843520782396088,0.752020024659848
JDR,K-medoids,3,0.6417489682720525,0.6417489682720525,1.0,1.0,0.21247380302530505
JDR,K-means,3,0.9500258800870799,0.9500258800870799,1.0,1.0,0.21924530311629406
JDR,Average linkage,3,0.8905820361461515,0.8905820361461515,1.0,1.0,0.04886635652715313
JDR,DBSCAN,3,0.6338386156541337,0.17302495655480196,0.7750611246943765,0.7970660146699267,0.12289146642788333
JDR,HDBSCAN,3,0.4077593977400024,0.7447578886886834,0.4400977995110024,0.6234718826405868,0.012565196078358529
Classical shape,K-medoids,3,0.5955120450135266,0.5955120450135266,1.0,1.0,0.17996910822038256
Classical shape,K-means,3,0.9762574412994882,0.9762574412994882,1.0,1.0,0.31231748233130796
