skewness,excess_kurtosis,bowley_skewness,tail_ratio,phase_eta,R21,R31,R41,cos_phi21,sin_phi21,cos_phi31,sin_phi31,residual_fraction,log10_period,log10_std_mag,log10_q95_q05_amplitude,object_id
-0.14745882707167063,-1.1677699433588846,-0.13056379821957556,1.6341246290801172,0.10912386172399878,0.5244555822735998,0.31824469350437773,0.17852920918374562,-0.3278140955644215,-0.9447422499016758,-0.8909883874608905,0.4540260933138558,0.05231118770648982,-0.2552662478334881,-0.7227873548688173,-0.2590849235187182,OGLE-GD-RRLYR-00001
0.16351376995936964,-0.6743478357477164,-0.04374999999998681,2.0656250000000025,0.7201341123293887,0.40732870706993696,0.21620523388756457,0.17623983932485654,-0.08233091789009381,-0.996605047127183,-0.9815730229851214,0.19108741598506754,0.3692234040369267,-0.3184982279075188,-0.6879674826010316,-0.17979854051435887,OGLE-GD-RRLYR-00022
-0.5432630808209625,-0.4307685559914516,-0.189019607843125,2.2687058823529322,0.4426084610785808,0.4035717269641359,0.2450778992972243,0.1826844799958278,-0.5971331183219978,-0.8021421563557466,-0.30785903616847543,0.9514319806740875,0.20323905971841189,-0.2939692874352493,-0.6654854919562669,-0.14077160946131154,OGLE-GD-RRLYR-00030
0.20835911383312963,-0.32432417918355405,0.029585798816541053,2.1846153846153955,0.8560705498793403,0.25464721783954053,0.13251795652878592,0.11946371182197918,-0.22815343519948772,-0.9736251896939978,-0.9999452565072133,0.010463459691868394,0.39700870278634004,-0.1981714861160901,-0.9209634003141288,-0.4327383076461222,OGLE-GD-RRLYR-00034
-0.006081546740784722,-0.5907311930697654,0.16974789915963676,2.2924369747898883,0.4863462959168931,0.5490700041962913,0.3751706347413309,0.19101386300632722,-0.23442632038872194,-0.9721338901144246,-0.9647108904941072,0.2633114083401376,0.28101790516802844,-0.23883934601847878,-0.6762233952325328,-0.16621562534352197,OGLE-GD-RRLYR-00050
-0.4188195250365564,0.2267060787116213,0.0,2.4847389558232154,0.9803308363116886,0.2399757057223596,0.08906015341428164,0.08245197328417908,0.740045123417493,-0.6725572208414594,-0.6869347623582286,-0.7267190875873868,0.38237466843082324,-0.38418804018786995,-1.0256203544918858,-0.5095498796439775,OGLE-GD-RRLYR-00051
-0.7885872441469617,-0.3854611489307831,-0.2007104795737106,2.1612788632326714,0.1564520438759372,0.4541881610487627,0.2521148480753854,0.131320392262131,-0.5682403545808065,-0.8228626248808967,-0.2781637538816753,0.9605336673050324,0.05981731589935494,-0.3958214626274793,-0.7154216180663691,-0.2158107946190395,OGLE-GD-RRLYR-00058
-0.07208516484935656,-1.1492382275506943,-0.18627450980393967,1.8406862745098014,0.066708767288518,0.4697339133753221,0.2842826628483709,0.13873924667173337,-0.3012346342518234,-0.9535500485696439,-0.9802636712185424,0.1976945494674687,0.04140004777701615,-0.21804955967357953,-0.9044007621175362,-0.4253900586598121,OGLE-GD-RRLYR-00104
-0.4047391225522672,-0.7097221032900909,-0.21614349775786096,1.806636771300465,0.29082353477473966,0.35603679874376915,0.26582698345578654,0.1572731159477728,-0.686299481720466,-0.7273190643659906,-0.47750995027275633,0.878626341165862,0.12891862659408873,-0.25445224909150255,-0.7579257670743337,-0.2979142785641731,OGLE-GD-RRLYR-00115
-0.3483245355321375,-0.8022928152507793,-0.2084043157296923,1.9970471323111776,0.3067294316604159,0.5020158435786751,0.4904946214965392,0.2716297510176406,-0.7082974658791189,-0.7059140881362395,-0.4003230900715496,0.9163740631180948,0.13831549161522833,-0.33418307201992065,-0.5576732151463157,-0.05591232058456542,OGLE-GD-RRLYR-00180
0.101225980454738,-0.8651233053423559,-0.02595797280591675,2.0889987639060603,0.07858016072170175,0.5084532061505966,0.34061239153738504,0.19496896522877818,-0.1819640055452583,-0.9833051920364935,-0.9947470001612139,0.10236408388817811,0.03360013701473329,-0.214560886040769,-0.8757804617496744,-0.37417328671428945,OGLE-GD-RRLYR-00212
-0.2624981265562147,-1.1478934468131436,-0.32394366197183827,2.0492957746478786,0.020366414144080955,0.5119886562621161,0.3837416346826687,0.26510902140575926,-0.4019195634633099,-0.9156749775468709,-0.8968072323941128,0.44242150481821274,0.018920162059207254,-0.2467998941437498,-0.7317960277791233,-0.2350770153501123,OGLE-GD-RRLYR-00217
