model,Classical full,Classical shape,JDR,full_minus_JDR,shape_minus_JDR
K-medoids,0.6649997892691218,0.3801143462782299,0.2919057724534147,0.37309401681570714,0.08820857382481517
K-means,0.4272486914201588,0.31353559608897313,0.3070183258060435,0.12023036561411532,0.006517270282929644
Average linkage,0.013491042468538881,0.021861682152720364,0.6729809313986163,-0.6594898889300774,-0.6511192492458959
DBSCAN,0.07251212236488433,0.07429798113126783,0.5351998563271123,-0.46268773396222795,-0.46090187519584447
HDBSCAN,0.2587909714625596,0.15195759288657346,0.24236942177011928,0.016421549692440307,-0.09041182888354582
