object_id,fourier_rank,fourier_condition,undefined_features
OGLE-GD-RRLYR-01184,9,1.9580260539499976,0
OGLE-GD-RRLYR-01187,9,1.8857090789481652,0
OGLE-GD-RRLYR-01194,9,1.9581865502647047,0
OGLE-GD-RRLYR-01230,9,1.7004586757351319,0
OGLE-GD-RRLYR-01261,9,1.7105980550382243,0
OGLE-GD-RRLYR-01287,9,1.7223569238830605,0
OGLE-GD-RRLYR-01296,9,1.8087482950592255,0
OGLE-GD-RRLYR-01306,9,1.6785147097984163,0
OGLE-GD-RRLYR-01313,9,1.592921236075499,0
OGLE-GD-RRLYR-01326,9,1.8059602469429765,0
OGLE-GD-RRLYR-01327,9,1.7747953023042984,0
OGLE-GD-RRLYR-01364,9,1.9256659329151533,0
OGLE-GD-RRLYR-01374,9,1.7424096142616516,0
OGLE-GD-RRLYR-01385,9,1.704669323034637,0
OGLE-GD-RRLYR-01387,9,1.7250375922114283,0
OGLE-GD-RRLYR-01421,9,2.0566721842756954,0
OGLE-GD-RRLYR-01431,9,1.6800183703474707,0
OGLE-GD-RRLYR-01439,9,1.6028921955021662,0
OGLE-GD-RRLYR-01444,9,1.7538159403694964,0
OGLE-GD-RRLYR-01480,9,2.142509677346308,0
OGLE-GD-RRLYR-01484,9,1.6423697463328053,0
OGLE-GD-RRLYR-01488,9,1.7083470456929941,0
OGLE-GD-RRLYR-01496,9,1.7175108482460049,0
OGLE-GD-RRLYR-01504,9,1.6600261518762878,0
OGLE-GD-RRLYR-01510,9,1.9491843640624011,0
OGLE-GD-RRLYR-01525,9,1.657318071824352,0
OGLE-GD-RRLYR-01526,9,1.673196857789108,0
OGLE-GD-RRLYR-01538,9,1.9718560168831183,0
OGLE-GD-RRLYR-01571,9,1.8250405310370337,0
OGLE-GD-RRLYR-01579,9,1.7118645122323708,0
OGLE-GD-RRLYR-01592,9,2.2613958803149723,0
OGLE-GD-RRLYR-01597,9,1.7517703830223108,0
OGLE-GD-RRLYR-01628,9,1.9566680855133205,0
OGLE-GD-RRLYR-01655,9,1.8374914102053725,0
OGLE-GD-RRLYR-01672,9,1.6352852776820013,0
OGLE-GD-RRLYR-01673,9,1.7566886455326998,0
OGLE-GD-RRLYR-01686,9,1.9677434797031255,0
OGLE-GD-RRLYR-01700,9,2.182370445670271,0
OGLE-GD-RRLYR-01701,9,1.7349224934537235,0
OGLE-GD-RRLYR-01737,9,1.688597967082205,0
OGLE-GD-RRLYR-01740,9,1.797641674795648,0
OGLE-GD-RRLYR-01761,9,1.6294739515096992,0
OGLE-GD-RRLYR-01771,9,1.7968590884324134,0
OGLE-GD-RRLYR-01781,9,1.7905494257863364,0
OGLE-GD-RRLYR-01788,9,1.71505338023732,0
OGLE-GD-RRLYR-01804,9,1.6240517832769161,0
OGLE-GD-RRLYR-01811,9,1.835585695891496,0
OGLE-GD-RRLYR-01823,9,1.7251086898312484,0
OGLE-GD-RRLYR-01827,9,1.9625325366381638,0
OGLE-GD-RRLYR-01832,9,1.851937117035929,0
OGLE-GD-RRLYR-01837,9,1.742601990295637,0
OGLE-GD-RRLYR-01839,9,1.629152852721774,0
OGLE-GD-RRLYR-01841,9,1.6116915709744646,0
OGLE-GD-RRLYR-01843,9,1.7232312639782532,0
OGLE-GD-RRLYR-01852,9,1.6183147042745183,0
OGLE-GD-RRLYR-01863,9,1.8707223280213279,0
OGLE-GD-RRLYR-01892,9,1.9394241888958283,0
OGLE-GD-RRLYR-01893,9,1.6487363347977428,0
OGLE-GD-RRLYR-01896,9,1.7159060585706596,0
OGLE-GD-RRLYR-01901,9,1.792754692691314,0
OGLE-GD-RRLYR-01907,9,1.7957399569084773,0
OGLE-GD-RRLYR-01934,9,1.8346630585547021,0
OGLE-GD-RRLYR-01957,9,1.7984942789820866,0
OGLE-GD-RRLYR-01958,9,1.9940143801747776,0
OGLE-GD-RRLYR-01961,9,1.816955917735407,0
OGLE-GD-RRLYR-01969,9,1.6602439822397652,0
OGLE-GD-RRLYR-01980,9,1.8473270041506042,0
OGLE-GD-RRLYR-01983,9,1.779815368917206,0
OGLE-GD-RRLYR-02004,9,1.806425625029028,0
OGLE-GD-RRLYR-02014,9,1.696605280559882,0
OGLE-GD-RRLYR-02059,9,1.6643482188126848,0
OGLE-GD-RRLYR-02072,9,1.849276543375519,0
OGLE-GD-RRLYR-02073,9,1.7432878654608233,0
OGLE-GD-RRLYR-02089,9,2.266156622943773,0
OGLE-GD-RRLYR-02094,9,1.64376742579934,0
OGLE-GD-RRLYR-02105,9,1.6956567684902415,0
OGLE-GD-RRLYR-02114,9,1.685576578201516,0
OGLE-GD-RRLYR-02117,9,1.8341266331592452,0
OGLE-GD-RRLYR-02118,9,1.8369779747604085,0
OGLE-GD-RRLYR-02125,9,1.678890595599142,0
OGLE-GD-RRLYR-02133,9,1.6364075149091206,0
OGLE-GD-RRLYR-02153,9,1.6663073579581391,0
OGLE-GD-RRLYR-02167,9,1.7073365359662802,0
OGLE-GD-RRLYR-02168,9,1.990325806755394,0
OGLE-GD-RRLYR-02192,9,2.0472760070616913,0
OGLE-GD-RRLYR-02203,9,1.6555244799108897,0
OGLE-GD-RRLYR-02209,9,1.5803936607335114,0
OGLE-GD-RRLYR-02217,9,1.802463466113032,0
OGLE-GD-RRLYR-02222,9,1.7423842950146538,0
OGLE-GD-RRLYR-02240,9,2.677005909572784,0
OGLE-GD-RRLYR-02292,9,1.7114211012618177,0
OGLE-GD-RRLYR-02293,9,1.7287492980612533,0
OGLE-GD-RRLYR-02298,9,1.8965679800486317,0
OGLE-GD-RRLYR-02302,9,1.6456494205631966,0
OGLE-GD-RRLYR-02303,9,1.6239991843856068,0
OGLE-GD-RRLYR-02314,9,1.6751544757381172,0
OGLE-GD-RRLYR-02322,9,1.6193062800920093,0
OGLE-GD-RRLYR-02376,9,1.685910571009402,0
OGLE-GD-RRLYR-02401,9,1.7967374284180782,0
OGLE-GD-RRLYR-02409,9,1.6789629661822383,0
OGLE-GD-RRLYR-02419,9,2.541676204897447,0
OGLE-GD-RRLYR-02432,9,1.8651159367299517,0
OGLE-GD-RRLYR-02439,9,1.635378239360839,0
OGLE-GD-RRLYR-02442,9,1.6637177101049028,0
OGLE-GD-RRLYR-02462,9,1.775783348613715,0
OGLE-GD-RRLYR-02465,9,1.6314568516981527,0
OGLE-GD-RRLYR-02475,9,1.7354064896522825,0
OGLE-GD-RRLYR-02476,9,3.567830994712101,0
OGLE-GD-RRLYR-02495,9,1.7571916520415418,0
OGLE-GD-RRLYR-02501,9,1.7171191904391463,0
OGLE-GD-RRLYR-02515,9,1.8637767124902975,0
OGLE-GD-RRLYR-02536,9,1.7614560723628323,0
OGLE-GD-RRLYR-02542,9,2.117328861000008,0
OGLE-GD-RRLYR-02544,9,1.8213762905782693,0
OGLE-GD-RRLYR-02545,9,1.7889300224850426,0
OGLE-GD-RRLYR-02547,9,1.7065909332041558,0
OGLE-GD-RRLYR-02551,9,1.8545512200608187,0
OGLE-GD-RRLYR-02578,9,1.6880473961732327,0
OGLE-GD-RRLYR-02582,9,1.6290695192337525,0
OGLE-GD-RRLYR-02586,9,1.672674099974533,0
OGLE-GD-RRLYR-02603,9,2.0483223022224495,0
OGLE-GD-RRLYR-02610,9,1.7944601432197977,0
OGLE-GD-RRLYR-02613,9,1.8459660050434048,0
OGLE-GD-RRLYR-02617,9,2.1705877647505023,0
OGLE-GD-RRLYR-02631,9,1.603567398615742,0
OGLE-GD-RRLYR-02639,9,1.7190108153122505,0
OGLE-GD-RRLYR-02640,9,1.844738040693358,0
OGLE-GD-RRLYR-02642,9,1.6762241164736535,0
OGLE-GD-RRLYR-02668,9,1.7274015289179403,0
OGLE-GD-RRLYR-02702,9,1.7417474835592592,0
OGLE-GD-RRLYR-02708,9,1.7160362661665998,0
OGLE-GD-RRLYR-02745,9,1.7666287374418745,0
OGLE-GD-RRLYR-02753,9,2.152710254669759,0
OGLE-GD-RRLYR-02768,9,1.6499388849926715,0
OGLE-GD-RRLYR-02789,9,1.6627859382510415,0
OGLE-GD-RRLYR-02808,9,1.7029504696867148,0
OGLE-GD-RRLYR-02813,9,1.8033594539907574,0
OGLE-GD-RRLYR-02814,9,1.6965476247755318,0
OGLE-GD-RRLYR-02835,9,1.8182927444670065,0
OGLE-GD-RRLYR-02860,9,1.5928834211554725,0
OGLE-GD-RRLYR-02861,9,1.8074263178027044,0
OGLE-GD-RRLYR-02874,9,1.8184710311450683,0
OGLE-GD-RRLYR-02888,9,1.7078252913141447,0
OGLE-GD-RRLYR-02892,9,1.8554573165653039,0
OGLE-GD-RRLYR-02901,9,1.693287880323608,0
OGLE-GD-RRLYR-02908,9,1.6959010762975186,0
OGLE-GD-RRLYR-02915,9,1.839128804983047,0
OGLE-GD-RRLYR-02936,9,2.0219075107498923,0
OGLE-GD-RRLYR-02972,9,1.9482393561254112,0
OGLE-GD-RRLYR-02997,9,1.6611593811998013,0
OGLE-GD-RRLYR-03005,9,2.175774920926408,0
