representation,model,replicate,ari_stability_all,ari_stability_common_assigned,common_assigned_fraction,coverage,catalog_ari_subset
Classical full,HDBSCAN,5,0.9341174385058779,1.0,0.5725,0.58,0.2562056550100933
JDR,K-medoids,6,0.9967608544124203,0.9967608544124203,1.0,1.0,0.28815265864479356
JDR,K-means,6,1.0,1.0,1.0,1.0,0.30714436076713075
JDR,Average linkage,6,0.6080086611085856,0.6080086611085856,1.0,1.0,0.4544250113504275
JDR,DBSCAN,6,0.8778816097569335,0.9620869404690389,0.80375,0.8275,0.5325705237416247
JDR,HDBSCAN,6,0.5014529961204316,0.7875131124904433,0.62625,0.77875,0.46432481467394643
Classical shape,K-medoids,6,0.9879299921868407,0.9879299921868407,1.0,1.0,0.3828578702933489
Classical shape,K-means,6,0.9511983305215916,0.9511983305215916,1.0,1.0,0.34280930107347113
Classical shape,Average linkage,6,0.7474817322476859,0.7474817322476859,1.0,1.0,0.010583015912298389
Classical shape,DBSCAN,6,0.8729124381995572,,0.75375,0.77,0.10003696862500569
Classical shape,HDBSCAN,6,0.8712551365291822,1.0,0.465,0.485,0.14778495151457757
Classical full,K-medoids,6,0.463172303912044,0.463172303912044,1.0,1.0,0.41409843175143163
Classical full,K-means,6,0.9595672620903176,0.9595672620903176,1.0,1.0,0.4672323709072332
Classical full,Average linkage,6,1.0,1.0,1.0,1.0,0.010583015912298389
Classical full,DBSCAN,6,0.8793275784680796,,0.77625,0.79875,0.09216793123784367
Classical full,HDBSCAN,6,0.9107342610975518,0.9938322369212418,0.54875,0.55125,0.23002149014393508
JDR,K-medoids,7,1.0,1.0,1.0,1.0,0.2947434887208722
JDR,K-means,7,0.985272371391143,0.985272371391143,1.0,1.0,0.311382660783888
JDR,Average linkage,7,0.7215716752395315,0.7215716752395315,1.0,1.0,0.6373827946015532
JDR,DBSCAN,7,0.9454707512602704,0.9895265255310539,0.81,0.8275,0.5548886969684057
JDR,HDBSCAN,7,0.4575647576021272,0.7510605948010597,0.58375,0.7275,0.47606408746152235
Classical shape,K-medoids,7,0.34159929638045533,0.34159929638045533,1.0,1.0,0.39431466963787776
Classical shape,K-means,7,0.5282300878351088,0.5282300878351088,1.0,1.0,0.38993709830714207
Classical shape,Average linkage,7,0.7972239421349593,0.7972239421349593,1.0,1.0,0.01571479665496815
Classical shape,DBSCAN,7,0.8890139234580064,,0.75125,0.76,0.07140826801883665
Classical shape,HDBSCAN,7,0.8691147209893478,1.0,0.44625,0.44875,0.1141203212044452
Classical full,K-medoids,7,0.9950702204096992,0.9950702204096992,1.0,1.0,0.6453869241685658
Classical full,K-means,7,0.5623629698130527,0.5623629698130527,1.0,1.0,0.5926028413525222
