 456.69231 18.999 0.044
 456.80185 18.466 0.021
 457.59409 18.889 0.024
 457.75525 18.795 0.023
 457.81389 19.081 0.037
 457.84336 19.077 0.036
 458.73955 18.936 0.031
 459.69240 18.689 0.023
 459.75183 18.730 0.024
 459.79570 18.904 0.029
 459.83950 18.882 0.032
 461.64236 19.054 0.032
 461.70102 19.196 0.038
 461.77055 18.647 0.026
 461.82920 18.452 0.023
 462.65774 18.975 0.028
 462.70371 18.900 0.028
 465.70579 18.414 0.023
 465.75025 18.604 0.025
 465.83501 18.695 0.025
 466.83782 18.455 0.021
 467.86049 19.103 0.048
 472.81149 19.021 0.043
 472.84100 19.167 0.065
 474.73755 18.716 0.033
 477.76738 19.102 0.040
 477.84821 19.032 0.040
 478.79515 18.907 0.030
 478.85411 18.937 0.038
 479.73666 18.714 0.033
 479.85506 18.818 0.043
 480.82849 18.577 0.027
 481.74320 19.046 0.035
 481.78721 19.078 0.037
 481.83111 18.599 0.030
 482.74406 18.930 0.027
 482.82195 19.003 0.040
 483.83046 18.834 0.042
 484.60905 18.694 0.028
 484.71770 18.618 0.023
 484.76204 18.692 0.025
 484.80605 18.754 0.037
 485.61263 19.024 0.029
 485.75957 18.482 0.022
 485.80370 18.602 0.025
 486.69550 18.998 0.034
 486.75125 19.071 0.037
 486.79640 19.087 0.040
 487.73223 18.946 0.030
 487.77631 19.018 0.035
 487.82047 18.976 0.035
 488.73441 18.816 0.030
 488.77842 18.935 0.039
 489.77419 18.704 0.026
 491.71108 18.946 0.037
 491.82445 19.008 0.039
 494.64097 18.670 0.023
 494.72951 18.550 0.025
 494.77445 18.711 0.023
 495.67346 19.050 0.054
 497.69800 19.030 0.081
 498.59426 18.413 0.023
 498.75205 18.823 0.042
 499.77523 18.721 0.035
 500.72796 19.189 0.054
 500.77244 18.713 0.040
 507.70154 18.867 0.049
 509.58039 18.977 0.037
 509.62752 19.023 0.042
 509.67984 18.695 0.041
 510.62202 18.925 0.037
 510.66759 19.157 0.051
 510.71517 19.048 0.045
 511.70747 18.912 0.046
 512.61422 18.626 0.031
 512.66246 18.847 0.056
 512.73680 18.898 0.030
 513.59446 18.496 0.022
 513.64003 18.444 0.019
 513.73173 18.744 0.028
 514.67177 19.151 0.042
 514.72212 18.358 0.021
 514.76898 18.604 0.025
 516.60313 18.855 0.037
 516.65734 18.889 0.032
 516.70431 19.005 0.037
 516.75083 18.961 0.043
 517.70095 18.778 0.033
 517.74711 18.888 0.042
 518.63849 18.544 0.027
 518.68373 18.651 0.033
 518.73281 18.612 0.037
 519.64575 19.211 0.056
 519.72815 18.508 0.029
 520.73990 19.133 0.060
 521.70332 18.896 0.049
 523.70754 18.657 0.036
 527.70922 18.706 0.038
 532.58626 18.544 0.045
 534.59270 18.860 0.039
 534.63679 18.840 0.039
 534.68856 18.968 0.055
 537.65123 18.692 0.028
 540.66444 18.973 0.040
 542.64644 18.623 0.030
 543.66644 18.690 0.030
 544.62667 19.030 0.039
 544.67191 19.069 0.045
 856.63446 18.912 0.047
 864.75711 18.885 0.087
 875.58235 18.949 0.036
 880.56790 19.041 0.041
 887.58130 18.763 0.039
 892.70950 18.927 0.050
 895.55563 18.918 0.049
 898.56253 18.477 0.023
 922.62985 18.640 0.037
 928.55577 18.889 0.078
 933.58746 19.159 0.067
 952.52097 19.227 0.060
1045.91562 18.915 0.052
1051.89585 18.735 0.039
1053.91131 18.953 0.035
1054.92699 18.836 0.069
1055.89949 18.974 0.060
1059.91225 18.963 0.045
1061.92199 18.672 0.075
1069.86946 18.930 0.042
1087.84159 19.045 0.053
1091.84413 18.994 0.057
1102.82650 18.907 0.030
1106.88154 19.109 0.067
1107.80931 18.902 0.041
1119.82682 18.546 0.031
1128.83504 18.825 0.036
1131.72063 18.930 0.056
1132.77267 18.767 0.040
1136.80595 18.974 0.038
1138.83237 18.743 0.035
1142.69707 18.659 0.024
1144.76599 18.964 0.037
1151.79186 18.976 0.045
1155.79115 18.876 0.037
1158.78865 18.623 0.032
1161.76654 18.829 0.028
1165.78729 18.866 0.037
1169.78217 18.963 0.045
1174.75596 18.951 0.039
1179.77285 18.874 0.046
1181.84493 18.825 0.043
1186.79930 18.803 0.030
1187.86056 18.694 0.038
1192.70643 18.611 0.026
1196.73936 18.783 0.048
1201.74816 18.656 0.032
1203.76800 19.093 0.045
1211.66263 18.461 0.031
1214.66353 18.857 0.050
1217.63834 18.969 0.040
1220.64321 18.523 0.029
1223.66944 18.939 0.039
1225.61043 18.461 0.022
1231.58681 19.011 0.050
1234.63506 18.764 0.037
1236.64255 19.267 0.118
1240.59499 18.963 0.045
1242.69668 19.069 0.060
1244.64631 18.653 0.034
1247.57689 18.900 0.047
1256.56159 18.935 0.045
1260.58710 19.116 0.048
1265.56205 18.920 0.046
1274.52470 19.074 0.070
1277.54423 18.684 0.038
1281.55743 18.852 0.054
1288.54246 18.585 0.040
1290.60989 18.917 0.061
1296.54722 18.704 0.049
1298.58512 18.451 0.056
1301.52686 18.847 0.057
1305.57268 18.844 0.051
1308.50223 19.112 0.052
1313.54871 19.163 0.078
1316.54055 18.700 0.046
1319.51688 18.900 0.045
1329.49541 18.826 0.064
1332.47830 19.037 0.087
1340.49012 18.758 0.055
1412.87524 18.560 0.031
1431.85482 18.652 0.032
1432.86084 18.469 0.032
1437.82080 18.703 0.045
1440.86843 18.790 0.042
1446.88048 18.735 0.054
1447.90604 18.467 0.054
1451.89876 18.656 0.046
1459.80778 19.004 0.058
1462.81203 19.041 0.063
1470.87242 18.680 0.036
1475.78506 18.541 0.032
1478.74041 18.793 0.045
1481.71402 18.874 0.043
1484.86349 18.877 0.040
1487.74347 18.965 0.043
1490.74027 18.888 0.046
1492.73340 18.862 0.043
1495.73189 19.115 0.050
1499.68965 18.488 0.040
1502.68494 18.807 0.041
1505.72551 19.073 0.052
1507.85893 18.932 0.052
1510.83494 18.436 0.028
1512.73171 18.811 0.051
1514.84280 18.682 0.033
1517.67825 18.673 0.030
1519.75190 18.461 0.027
1521.68762 18.803 0.037
1523.80839 18.771 0.048
1525.80275 19.004 0.042
1527.73169 18.781 0.031
1528.77806 18.717 0.033
1529.79915 18.396 0.027
1531.79226 18.971 0.042
1538.74879 18.586 0.032
1541.70490 18.816 0.030
1542.73477 18.780 0.040
1544.66081 18.874 0.037
1547.78769 18.829 0.058
1548.76531 18.523 0.028
1549.75959 19.071 0.039
1552.62430 18.473 0.026
1554.75080 19.113 0.038
1555.75750 18.912 0.042
1562.76042 18.772 0.048
1564.63901 18.889 0.054
