,eps,min_samples,purity,n_clusters,n_noise
0,3.7963963963963963,2,1.0,2,1
1,3.8962962962962964,2,1.0,2,1
2,3.996196196196196,2,1.0,2,1
3,4.096096096096096,2,1.0,2,1
4,4.195995995995996,2,1.0,2,1
5,4.295895895895896,2,1.0,2,1
6,4.395795795795796,2,1.0,2,1
7,4.495695695695695,2,1.0,2,1
8,4.595595595595595,2,1.0,2,1
9,4.6954954954954955,2,1.0,2,1
10,4.795395395395395,2,1.0,2,1
11,4.895295295295295,2,1.0,2,1
12,4.995195195195195,2,1.0,2,1
13,5.095095095095095,2,1.0,2,1
14,5.194994994994995,2,1.0,2,1
15,5.294894894894894,2,1.0,2,1
16,5.3947947947947945,2,1.0,2,1
17,5.494694694694695,2,1.0,2,1
18,5.594594594594594,2,1.0,2,1
19,5.694494494494494,2,1.0,2,1
20,3.496696696696697,2,1.0,1,3
21,3.5965965965965965,2,1.0,1,3
22,3.696496496496496,2,1.0,1,3
23,5.794394394394394,2,0.8,2,0
24,5.894294294294294,2,0.8,2,0
25,5.994194194194194,2,0.8,2,0
26,6.0940940940940935,2,0.8,2,0
27,6.193993993993994,2,0.8,2,0
28,6.293893893893894,2,0.8,2,0
29,6.393793793793793,2,0.8,2,0
30,6.493693693693693,2,0.8,2,0
31,6.593593593593593,2,0.8,2,0
32,6.693493493493493,2,0.8,2,0
33,6.793393393393393,2,0.8,2,0
34,6.893293293293293,2,0.8,2,0
35,6.993193193193193,2,0.8,2,0
36,7.093093093093093,2,0.8,2,0
37,7.192992992992992,2,0.8,2,0
38,7.292892892892892,2,0.8,2,0
39,7.392792792792792,2,0.8,2,0
40,7.4926926926926924,2,0.8,2,0
41,7.592592592592593,2,0.8,2,0
42,7.692492492492492,2,0.8,2,0
43,7.792392392392392,2,0.8,2,0
44,7.892292292292292,2,0.8,2,0
45,7.992192192192191,2,0.8,2,0
46,8.092092092092091,2,0.8,2,0
47,8.19199199199199,2,0.8,2,0
48,8.29189189189189,2,0.8,2,0
49,8.39179179179179,2,0.8,2,0
50,8.49169169169169,2,0.8,2,0
51,8.591591591591591,2,0.8,2,0
52,8.69149149149149,2,0.8,2,0
53,8.79139139139139,2,0.8,2,0
54,8.89129129129129,2,0.8,2,0
55,8.99119119119119,2,0.8,2,0
56,9.091091091091089,2,0.8,2,0
57,9.19099099099099,2,0.8,2,0
58,9.29089089089089,2,0.8,1,0
59,9.29089089089089,3,0.8,1,0
60,9.29089089089089,4,0.8,1,0
61,9.29089089089089,5,0.8,1,0
62,9.390790790790788,2,0.8,1,0
63,9.390790790790788,3,0.8,1,0
64,9.390790790790788,4,0.8,1,0
65,9.390790790790788,5,0.8,1,0
66,9.49069069069069,2,0.8,1,0
67,9.49069069069069,3,0.8,1,0
68,9.49069069069069,4,0.8,1,0
69,9.49069069069069,5,0.8,1,0
70,9.590590590590589,2,0.8,1,0
71,9.590590590590589,3,0.8,1,0
72,9.590590590590589,4,0.8,1,0
73,9.590590590590589,5,0.8,1,0
74,9.69049049049049,2,0.8,1,0
75,9.69049049049049,3,0.8,1,0
76,9.69049049049049,4,0.8,1,0
77,9.69049049049049,5,0.8,1,0
78,9.790390390390389,2,0.8,1,0
79,9.790390390390389,3,0.8,1,0
80,9.790390390390389,4,0.8,1,0
81,9.790390390390389,5,0.8,1,0
82,9.890290290290288,2,0.8,1,0
83,9.890290290290288,3,0.8,1,0
84,9.890290290290288,4,0.8,1,0
85,9.890290290290288,5,0.8,1,0
86,9.990190190190189,2,0.8,1,0
87,9.990190190190189,3,0.8,1,0
88,9.990190190190189,4,0.8,1,0
89,9.990190190190189,5,0.8,1,0
90,10.090090090090088,2,0.8,1,0
91,10.090090090090088,3,0.8,1,0
92,10.090090090090088,4,0.8,1,0
93,10.090090090090088,5,0.8,1,0
94,10.18998998998999,2,0.8,1,0
95,10.18998998998999,3,0.8,1,0
96,10.18998998998999,4,0.8,1,0
97,10.18998998998999,5,0.8,1,0
98,10.289889889889889,2,0.8,1,0
99,10.289889889889889,3,0.8,1,0
100,10.289889889889889,4,0.8,1,0
101,10.289889889889889,5,0.8,1,0
102,10.389789789789788,2,0.8,1,0
103,10.389789789789788,3,0.8,1,0
104,10.389789789789788,4,0.8,1,0
105,10.389789789789788,5,0.8,1,0
106,10.489689689689689,2,0.8,1,0
107,10.489689689689689,3,0.8,1,0
108,10.489689689689689,4,0.8,1,0
109,10.489689689689689,5,0.8,1,0
110,10.589589589589588,2,0.8,1,0
111,10.589589589589588,3,0.8,1,0
112,10.589589589589588,4,0.8,1,0
113,10.589589589589588,5,0.8,1,0
114,10.689489489489487,2,0.8,1,0
115,10.689489489489487,3,0.8,1,0
116,10.689489489489487,4,0.8,1,0
117,10.689489489489487,5,0.8,1,0
118,10.789389389389388,2,0.8,1,0
119,10.789389389389388,3,0.8,1,0
120,10.789389389389388,4,0.8,1,0
121,10.789389389389388,5,0.8,1,0
122,10.889289289289287,2,0.8,1,0
123,10.889289289289287,3,0.8,1,0
124,10.889289289289287,4,0.8,1,0
125,10.889289289289287,5,0.8,1,0
126,10.989189189189187,2,0.8,1,0
127,10.989189189189187,3,0.8,1,0
128,10.989189189189187,4,0.8,1,0
129,10.989189189189187,5,0.8,1,0
130,11.089089089089088,2,0.8,1,0
131,11.089089089089088,3,0.8,1,0
132,11.089089089089088,4,0.8,1,0
133,11.089089089089088,5,0.8,1,0
134,11.188988988988987,2,0.8,1,0
135,11.188988988988987,3,0.8,1,0
136,11.188988988988987,4,0.8,1,0
137,11.188988988988987,5,0.8,1,0
138,11.288888888888888,2,0.8,1,0
139,11.288888888888888,3,0.8,1,0
140,11.288888888888888,4,0.8,1,0
141,11.288888888888888,5,0.8,1,0
142,11.388788788788787,2,0.8,1,0
143,11.388788788788787,3,0.8,1,0
144,11.388788788788787,4,0.8,1,0
145,11.388788788788787,5,0.8,1,0
146,11.488688688688686,2,0.8,1,0
147,11.488688688688686,3,0.8,1,0
148,11.488688688688686,4,0.8,1,0
149,11.488688688688686,5,0.8,1,0
150,11.588588588588587,2,0.8,1,0
151,11.588588588588587,3,0.8,1,0
152,11.588588588588587,4,0.8,1,0
153,11.588588588588587,5,0.8,1,0
154,11.688488488488487,2,0.8,1,0
155,11.688488488488487,3,0.8,1,0
156,11.688488488488487,4,0.8,1,0
157,11.688488488488487,5,0.8,1,0
158,11.788388388388388,2,0.8,1,0
159,11.788388388388388,3,0.8,1,0
160,11.788388388388388,4,0.8,1,0
161,11.788388388388388,5,0.8,1,0
162,11.888288288288287,2,0.8,1,0
163,11.888288288288287,3,0.8,1,0
164,11.888288288288287,4,0.8,1,0
165,11.888288288288287,5,0.8,1,0
166,11.988188188188186,2,0.8,1,0
167,11.988188188188186,3,0.8,1,0
168,11.988188188188186,4,0.8,1,0
169,11.988188188188186,5,0.8,1,0
170,12.088088088088087,2,0.8,1,0
171,12.088088088088087,3,0.8,1,0
172,12.088088088088087,4,0.8,1,0
173,12.088088088088087,5,0.8,1,0
174,12.187987987987986,2,0.8,1,0
175,12.187987987987986,3,0.8,1,0
176,12.187987987987986,4,0.8,1,0
177,12.187987987987986,5,0.8,1,0
178,12.287887887887885,2,0.8,1,0
179,12.287887887887885,3,0.8,1,0
180,12.287887887887885,4,0.8,1,0
181,12.287887887887885,5,0.8,1,0
182,12.387787787787786,2,0.8,1,0
183,12.387787787787786,3,0.8,1,0
184,12.387787787787786,4,0.8,1,0
185,12.387787787787786,5,0.8,1,0
186,12.487687687687686,2,0.8,1,0
187,12.487687687687686,3,0.8,1,0
188,12.487687687687686,4,0.8,1,0
189,12.487687687687686,5,0.8,1,0
190,12.587587587587585,2,0.8,1,0
191,12.587587587587585,3,0.8,1,0
192,12.587587587587585,4,0.8,1,0
193,12.587587587587585,5,0.8,1,0
194,12.687487487487486,2,0.8,1,0
195,12.687487487487486,3,0.8,1,0
196,12.687487487487486,4,0.8,1,0
197,12.687487487487486,5,0.8,1,0
198,12.787387387387385,2,0.8,1,0
199,12.787387387387385,3,0.8,1,0
200,12.787387387387385,4,0.8,1,0
201,12.787387387387385,5,0.8,1,0
202,12.887287287287286,2,0.8,1,0
203,12.887287287287286,3,0.8,1,0
204,12.887287287287286,4,0.8,1,0
205,12.887287287287286,5,0.8,1,0
206,12.987187187187185,2,0.8,1,0
207,12.987187187187185,3,0.8,1,0
208,12.987187187187185,4,0.8,1,0
209,12.987187187187185,5,0.8,1,0
210,13.087087087087085,2,0.8,1,0
211,13.087087087087085,3,0.8,1,0
212,13.087087087087085,4,0.8,1,0
213,13.087087087087085,5,0.8,1,0
214,13.186986986986986,2,0.8,1,0
215,13.186986986986986,3,0.8,1,0
216,13.186986986986986,4,0.8,1,0
217,13.186986986986986,5,0.8,1,0
218,13.286886886886885,2,0.8,1,0
219,13.286886886886885,3,0.8,1,0
220,13.286886886886885,4,0.8,1,0
221,13.286886886886885,5,0.8,1,0
222,13.386786786786786,2,0.8,1,0
223,13.386786786786786,3,0.8,1,0
224,13.386786786786786,4,0.8,1,0
225,13.386786786786786,5,0.8,1,0
226,13.486686686686685,2,0.8,1,0
227,13.486686686686685,3,0.8,1,0
228,13.486686686686685,4,0.8,1,0
229,13.486686686686685,5,0.8,1,0
230,13.586586586586584,2,0.8,1,0
231,13.586586586586584,3,0.8,1,0
232,13.586586586586584,4,0.8,1,0
233,13.586586586586584,5,0.8,1,0
234,13.686486486486485,2,0.8,1,0
235,13.686486486486485,3,0.8,1,0
236,13.686486486486485,4,0.8,1,0
237,13.686486486486485,5,0.8,1,0
238,13.786386386386384,2,0.8,1,0
239,13.786386386386384,3,0.8,1,0
240,13.786386386386384,4,0.8,1,0
241,13.786386386386384,5,0.8,1,0
242,13.886286286286284,2,0.8,1,0
243,13.886286286286284,3,0.8,1,0
244,13.886286286286284,4,0.8,1,0
245,13.886286286286284,5,0.8,1,0
246,13.986186186186185,2,0.8,1,0
247,13.986186186186185,3,0.8,1,0
248,13.986186186186185,4,0.8,1,0
249,13.986186186186185,5,0.8,1,0
250,14.086086086086084,2,0.8,1,0
251,14.086086086086084,3,0.8,1,0
252,14.086086086086084,4,0.8,1,0
253,14.086086086086084,5,0.8,1,0
254,14.185985985985983,2,0.8,1,0
255,14.185985985985983,3,0.8,1,0
256,14.185985985985983,4,0.8,1,0
257,14.185985985985983,5,0.8,1,0
258,14.285885885885884,2,0.8,1,0
259,14.285885885885884,3,0.8,1,0
260,14.285885885885884,4,0.8,1,0
261,14.285885885885884,5,0.8,1,0
262,14.385785785785783,2,0.8,1,0
263,14.385785785785783,3,0.8,1,0
264,14.385785785785783,4,0.8,1,0
265,14.385785785785783,5,0.8,1,0
266,14.485685685685684,2,0.8,1,0
267,14.485685685685684,3,0.8,1,0
268,14.485685685685684,4,0.8,1,0
269,14.485685685685684,5,0.8,1,0
270,14.585585585585584,2,0.8,1,0
271,14.585585585585584,3,0.8,1,0
272,14.585585585585584,4,0.8,1,0
273,14.585585585585584,5,0.8,1,0
274,14.685485485485483,2,0.8,1,0
275,14.685485485485483,3,0.8,1,0
276,14.685485485485483,4,0.8,1,0
277,14.685485485485483,5,0.8,1,0
278,14.785385385385384,2,0.8,1,0
279,14.785385385385384,3,0.8,1,0
280,14.785385385385384,4,0.8,1,0
281,14.785385385385384,5,0.8,1,0
282,14.885285285285283,2,0.8,1,0
283,14.885285285285283,3,0.8,1,0
284,14.885285285285283,4,0.8,1,0
285,14.885285285285283,5,0.8,1,0
286,14.985185185185184,2,0.8,1,0
287,14.985185185185184,3,0.8,1,0
288,14.985185185185184,4,0.8,1,0
289,14.985185185185184,5,0.8,1,0
290,15.085085085085083,2,0.8,1,0
291,15.085085085085083,3,0.8,1,0
292,15.085085085085083,4,0.8,1,0
293,15.085085085085083,5,0.8,1,0
294,15.184984984984983,2,0.8,1,0
295,15.184984984984983,3,0.8,1,0
296,15.184984984984983,4,0.8,1,0
297,15.184984984984983,5,0.8,1,0
298,15.284884884884884,2,0.8,1,0
299,15.284884884884884,3,0.8,1,0
300,15.284884884884884,4,0.8,1,0
301,15.284884884884884,5,0.8,1,0
302,15.384784784784783,2,0.8,1,0
303,15.384784784784783,3,0.8,1,0
304,15.384784784784783,4,0.8,1,0
305,15.384784784784783,5,0.8,1,0
306,15.484684684684682,2,0.8,1,0
307,15.484684684684682,3,0.8,1,0
308,15.484684684684682,4,0.8,1,0
309,15.484684684684682,5,0.8,1,0
310,15.584584584584583,2,0.8,1,0
311,15.584584584584583,3,0.8,1,0
312,15.584584584584583,4,0.8,1,0
313,15.584584584584583,5,0.8,1,0
314,15.684484484484482,2,0.8,1,0
315,15.684484484484482,3,0.8,1,0
316,15.684484484484482,4,0.8,1,0
317,15.684484484484482,5,0.8,1,0
318,15.784384384384381,2,0.8,1,0
319,15.784384384384381,3,0.8,1,0
320,15.784384384384381,4,0.8,1,0
321,15.784384384384381,5,0.8,1,0
322,15.884284284284282,2,0.8,1,0
323,15.884284284284282,3,0.8,1,0
324,15.884284284284282,4,0.8,1,0
325,15.884284284284282,5,0.8,1,0
326,15.984184184184182,2,0.8,1,0
327,15.984184184184182,3,0.8,1,0
328,15.984184184184182,4,0.8,1,0
329,15.984184184184182,5,0.8,1,0
330,16.084084084084083,2,0.8,1,0
331,16.084084084084083,3,0.8,1,0
332,16.084084084084083,4,0.8,1,0
333,16.084084084084083,5,0.8,1,0
334,16.183983983983982,2,0.8,1,0
335,16.183983983983982,3,0.8,1,0
336,16.183983983983982,4,0.8,1,0
337,16.183983983983982,5,0.8,1,0
338,16.28388388388388,2,0.8,1,0
339,16.28388388388388,3,0.8,1,0
340,16.28388388388388,4,0.8,1,0
341,16.28388388388388,5,0.8,1,0
342,16.38378378378378,2,0.8,1,0
343,16.38378378378378,3,0.8,1,0
344,16.38378378378378,4,0.8,1,0
345,16.38378378378378,5,0.8,1,0
346,16.483683683683683,2,0.8,1,0
347,16.483683683683683,3,0.8,1,0
348,16.483683683683683,4,0.8,1,0
349,16.483683683683683,5,0.8,1,0
350,16.583583583583582,2,0.8,1,0
351,16.583583583583582,3,0.8,1,0
352,16.583583583583582,4,0.8,1,0
353,16.583583583583582,5,0.8,1,0
354,16.68348348348348,2,0.8,1,0
355,16.68348348348348,3,0.8,1,0
356,16.68348348348348,4,0.8,1,0
357,16.68348348348348,5,0.8,1,0
358,16.78338338338338,2,0.8,1,0
359,16.78338338338338,3,0.8,1,0
360,16.78338338338338,4,0.8,1,0
361,16.78338338338338,5,0.8,1,0
362,16.88328328328328,2,0.8,1,0
363,16.88328328328328,3,0.8,1,0
364,16.88328328328328,4,0.8,1,0
365,16.88328328328328,5,0.8,1,0
366,16.983183183183183,2,0.8,1,0
367,16.983183183183183,3,0.8,1,0
