2165.85271 19.068 0.074
2183.83450 19.228 0.107
2184.83399 19.213 0.087
2191.80490 18.668 0.039
2200.81524 18.918 0.050
2206.75139 19.235 0.105
2223.73851 18.849 0.051
2226.71411 19.290 0.085
2228.75779 18.888 0.049
2230.66956 19.199 0.078
2232.69132 19.151 0.070
2234.68442 19.001 0.058
2238.62899 18.862 0.060
2240.76404 19.288 0.082
2242.76589 18.902 0.080
2244.81669 19.338 0.141
2249.68903 19.220 0.060
2251.83479 19.187 0.070
2253.67499 19.198 0.061
2256.68011 18.902 0.060
2259.67203 19.495 0.079
2262.67726 19.210 0.073
2269.73845 18.994 0.072
2273.63356 19.118 0.086
2277.70516 19.286 0.056
2279.71453 19.087 0.067
2281.70661 19.288 0.053
2283.73240 19.147 0.050
2288.72095 19.136 0.053
2290.75572 19.232 0.070
2292.73055 18.962 0.074
2294.69816 19.297 0.097
2296.71976 18.799 0.069
2298.67587 19.255 0.080
2300.68790 19.010 0.098
2302.66376 19.164 0.081
2316.54396 18.869 0.062
2322.58094 19.167 0.075
2325.58737 19.036 0.081
2331.52382 19.272 0.102
2337.54639 19.312 0.091
2345.50616 19.117 0.099
2350.50826 19.307 0.110
2365.52500 19.174 0.126
2519.90139 19.076 0.069
2526.87966 19.288 0.061
2541.87391 19.230 0.062
2544.80069 19.071 0.073
2551.80064 19.224 0.069
2554.89309 19.202 0.087
2558.89469 19.173 0.159
2563.78252 19.208 0.097
2571.83940 19.084 0.085
2577.77788 19.206 0.074
2580.80663 18.975 0.050
2588.84572 18.871 0.047
2594.72322 18.899 0.069
2599.75439 19.042 0.069
2607.71888 18.890 0.055
2617.71063 18.760 0.066
2622.82180 19.096 0.072
2624.81556 18.990 0.051
2625.79680 18.991 0.064
2628.60076 19.142 0.107
2634.57835 19.428 0.079
2637.61653 19.190 0.055
2640.66252 19.183 0.080
2642.65471 19.191 0.078
2644.65098 18.907 0.057
2646.63922 19.207 0.072
2650.60575 19.044 0.058
2652.61770 19.326 0.085
2654.72600 19.097 0.078
2657.67711 18.749 0.061
2659.75027 19.485 0.161
2661.74953 19.057 0.076
2663.67639 19.063 0.091
2665.71967 19.397 0.080
2667.64623 18.944 0.056
2671.61921 18.705 0.044
2673.62660 19.206 0.080
2675.61966 19.125 0.085
2677.61756 19.087 0.099
2679.68079 19.205 0.079
2681.66747 19.030 0.082
2685.61447 18.595 0.061
2690.56812 18.766 0.058
2694.55898 18.942 0.057
2699.55373 18.894 0.082
2705.53195 18.941 0.061
2711.55861 19.278 0.098
2732.48975 19.125 0.128
2872.86357 19.005 0.063
2883.87706 19.306 0.075
2886.84574 18.939 0.063
2892.84226 19.160 0.085
2896.81674 18.964 0.057
2900.90497 19.181 0.074
2905.89394 19.269 0.096
2915.80980 19.266 0.055
2921.81203 19.334 0.081
2925.75535 19.408 0.089
2929.78326 19.100 0.053
2932.86625 19.144 0.063
2939.74511 19.280 0.074
2942.72330 19.107 0.062
2946.74386 19.016 0.061
2949.72747 19.249 0.070
2952.71854 19.123 0.072
2955.78012 18.954 0.079
2957.71274 19.346 0.082
2960.73819 19.222 0.066
2960.83497 19.403 0.132
2963.72048 19.123 0.073
2966.68739 19.261 0.070
2968.85113 19.012 0.047
2972.68706 19.346 0.070
2975.66051 19.150 0.072
2977.73124 18.805 0.055
2979.78329 19.121 0.066
2983.69142 19.005 0.061
2986.67366 19.385 0.076
2988.63894 18.908 0.057
2990.77201 18.826 0.046
2994.75290 19.261 0.060
2996.62887 18.930 0.040
2998.61039 19.175 0.064
3000.62851 19.242 0.067
3002.61321 19.065 0.066
3004.61607 19.304 0.072
3006.66510 19.126 0.062
3008.61615 19.235 0.104
3010.63637 18.981 0.057
3012.73176 19.184 0.095
3016.65038 19.187 0.067
3018.63581 19.214 0.066
3020.67682 19.250 0.082
3022.74242 18.812 0.041
3024.69076 19.099 0.055
3026.65980 19.381 0.066
3028.66531 18.891 0.035
3030.70065 19.159 0.052
3033.62109 18.988 0.047
3035.62884 19.027 0.057
3038.60980 19.023 0.079
3041.53535 19.245 0.092
3043.56480 19.037 0.099
3045.60392 19.374 0.073
3047.55835 18.923 0.066
3049.56326 19.286 0.067
3051.55549 19.027 0.060
3053.55187 19.175 0.072
3055.55054 19.271 0.073
3057.54975 19.093 0.060
3059.54835 19.231 0.064
3064.56550 19.000 0.074
3067.55336 19.186 0.073
3069.53829 18.831 0.055
3072.53655 19.102 0.073
3075.53711 19.060 0.080
3077.62181 19.175 0.073
3081.61328 19.304 0.069
3084.52011 19.151 0.067
3086.55807 19.056 0.086
3089.54390 19.130 0.062
3092.52794 18.791 0.081
3098.52532 19.124 0.082
3101.49402 18.800 0.079
3103.49082 19.232 0.076
3109.49291 19.325 0.082
3113.48096 19.355 0.114
3123.51385 19.335 0.125
3133.48745 18.824 0.069
3230.88653 19.153 0.062
3238.87008 18.896 0.053
3246.90192 19.074 0.081
3254.89007 19.253 0.066
3262.86464 19.272 0.058
3268.78789 19.331 0.055
3272.90253 19.597 0.149
3275.90128 19.266 0.111
3281.74280 19.075 0.052
3283.84263 18.831 0.038
3289.75616 18.917 0.043
3296.71010 19.134 0.047
3298.79020 19.046 0.038
3303.75342 19.143 0.079
3306.75486 19.118 0.068
3308.77160 19.138 0.069
3310.80395 18.972 0.060
