4149.69018  13.625   0.003
4149.70154  13.618   0.003
4149.71285  13.608   0.003
4149.72418  13.608   0.003
4149.73552  13.610   0.003
4149.74803  13.601   0.003
4149.75935  13.604   0.003
4149.77070  13.602   0.003
4149.78205  13.609   0.003
4149.79334  13.611   0.003
4149.80473  13.610   0.003
4149.81649  13.608   0.003
4149.82785  13.608   0.003
4149.83913  13.610   0.003
4150.64930  13.610   0.003
4150.66063  13.613   0.003
4150.67194  13.610   0.003
4150.69319  13.611   0.003
4150.70451  13.608   0.003
4150.71583  13.618   0.003
4150.72709  13.608   0.003
4150.73837  13.611   0.003
4150.74968  13.609   0.003
4150.76120  13.612   0.003
4150.77244  13.613   0.003
4150.78376  13.609   0.003
4150.79507  13.613   0.003
4150.80658  13.612   0.003
4150.81789  13.616   0.003
4150.82924  13.615   0.003
4150.84056  13.622   0.003
4151.60030  13.640   0.003
4151.62920  13.623   0.003
4151.68541  13.620   0.003
4151.71092  13.610   0.003
4151.73635  13.606   0.003
4151.76312  13.608   0.003
4151.78863  13.610   0.003
4151.81408  13.612   0.003
4152.66871  13.618   0.003
4152.68004  13.611   0.003
4152.69135  13.607   0.003
4152.70265  13.613   0.003
4152.71399  13.609   0.003
4152.72633  13.612   0.003
4152.73768  13.611   0.003
4152.74901  13.612   0.003
4152.76032  13.612   0.003
4152.77160  13.604   0.003
4152.78299  13.611   0.003
4152.79454  13.611   0.003
4152.80585  13.620   0.003
4152.81716  13.631   0.003
4152.82853  13.634   0.003
4153.61724  13.609   0.003
4153.62852  13.610   0.003
4153.63986  13.612   0.003
4153.65117  13.608   0.003
4153.66248  13.609   0.003
4153.67376  13.601   0.003
4153.68544  13.610   0.003
4153.69679  13.606   0.003
4153.70814  13.613   0.003
4153.71944  13.612   0.003
4153.73075  13.611   0.003
4153.74208  13.614   0.003
4153.75487  13.616   0.003
4153.80690  13.627   0.003
4153.81823  13.624   0.003
4153.82955  13.621   0.003
4154.60943  13.616   0.003
4154.62420  13.616   0.003
4154.63554  13.615   0.003
4154.64945  13.613   0.003
4154.66075  13.611   0.003
4154.67202  13.613   0.003
4154.68334  13.623   0.003
4154.69469  13.615   0.003
4154.70607  13.618   0.003
4154.71765  13.618   0.003
4154.72895  13.623   0.003
4154.74028  13.627   0.003
4154.75157  13.638   0.003
4154.76290  13.643   0.003
4154.77420  13.652   0.003
4154.78571  13.650   0.003
4154.79703  13.648   0.003
4154.80832  13.659   0.003
4154.81967  13.645   0.003
4155.72686  13.619   0.003
4155.75236  13.621   0.003
4155.77990  13.622   0.003
4155.80538  13.617   0.003
4156.60511  13.612   0.003
4156.61645  13.614   0.003
4156.62779  13.612   0.003
4156.63910  13.618   0.003
4156.65042  13.620   0.003
4156.66178  13.619   0.003
4156.67418  13.623   0.003
4156.68547  13.632   0.003
4156.69679  13.638   0.003
4156.70806  13.641   0.003
4156.71936  13.648   0.003
4156.73069  13.650   0.003
4156.74231  13.645   0.003
4156.75364  13.647   0.003
4156.76496  13.634   0.003
4156.77630  13.627   0.003
4156.78768  13.630   0.003
4156.79903  13.624   0.003
4156.81825  13.611   0.003
4157.60888  13.617   0.003
4157.62152  13.618   0.003
4157.63287  13.606   0.003
4157.64419  13.617   0.003
4157.65552  13.621   0.003
4157.66681  13.616   0.003
4157.67816  13.631   0.003
4157.68974  13.629   0.003
4157.70109  13.628   0.003
4157.71245  13.624   0.003
4157.72376  13.619   0.003
4157.73508  13.616   0.003
4157.74640  13.619   0.003
4157.75830  13.612   0.003
4157.76966  13.611   0.003
4157.78101  13.610   0.003
4157.79236  13.605   0.003
4157.80368  13.603   0.003
4158.60474  13.620   0.003
4158.61610  13.632   0.003
4158.63121  13.636   0.003
4158.64251  13.642   0.003
4158.65383  13.653   0.003
4158.67235  13.650   0.003
4158.68367  13.650   0.003
4158.69493  13.634   0.003
4158.70628  13.631   0.003
4158.71761  13.630   0.003
4158.72919  13.614   0.003
4158.74050  13.610   0.003
4158.75183  13.612   0.003
4158.76315  13.614   0.003
4158.77448  13.612   0.003
4158.78579  13.609   0.003
4158.79854  13.614   0.003
4159.70496  13.606   0.003
4159.73044  13.610   0.003
4159.75596  13.609   0.003
4159.78144  13.608   0.003
4159.80691  13.605   0.003
4160.60849  13.650   0.003
4160.61979  13.644   0.003
4160.63113  13.633   0.003
4160.64246  13.629   0.003
4160.65382  13.620   0.003
4160.66517  13.619   0.003
4160.67661  13.618   0.003
4160.70562  13.620   0.003
4160.71698  13.606   0.003
4160.72831  13.613   0.003
4160.75263  13.608   0.003
4160.76399  13.607   0.003
4160.77648  13.613   0.003
4160.79916  13.609   0.003
4161.59061  13.615   0.003
4161.60196  13.609   0.003
4161.61328  13.612   0.003
4161.62456  13.608   0.003
4161.63588  13.610   0.003
4161.64772  13.611   0.003
4161.65902  13.602   0.003
4161.67037  13.600   0.003
