2322.65724  16.238   0.005
2322.67475  16.237   0.005
2322.68567  16.238   0.005
2322.69657  16.237   0.005
2322.70747  16.235   0.005
2322.71834  16.213   0.005
2322.72927  16.219   0.005
2322.74118  16.213   0.005
2322.75206  16.226   0.005
2322.76291  16.220   0.005
2322.77378  16.212   0.005
2322.78466  16.204   0.005
2322.79552  16.229   0.005
2322.80735  16.215   0.005
2322.81824  16.207   0.005
2322.82914  16.213   0.005
2322.84007  16.205   0.005
2322.85100  16.207   0.005
2322.86595  16.216   0.005
2323.66330  16.289   0.005
2323.67422  16.273   0.006
2323.68517  16.242   0.005
2323.69612  16.231   0.005
2323.70772  16.205   0.005
2323.72077  16.221   0.005
2323.73163  16.224   0.005
2323.74252  16.232   0.005
2323.75343  16.230   0.005
2323.76432  16.233   0.005
2323.77949  16.224   0.005
2323.79037  16.216   0.005
2323.80129  16.229   0.005
2323.81221  16.228   0.004
2323.82309  16.213   0.005
2323.83397  16.212   0.005
2323.84613  16.216   0.005
2323.85704  16.213   0.005
2323.86795  16.216   0.005
2324.64428  16.422   0.006
2324.65936  16.424   0.006
2324.67367  16.431   0.006
2324.68456  16.411   0.005
2324.69853  16.367   0.005
2324.70940  16.344   0.005
2324.72033  16.326   0.005
2324.73121  16.301   0.005
2324.74225  16.277   0.005
2324.75785  16.239   0.005
2324.76929  16.225   0.005
2324.78021  16.210   0.005
2324.79108  16.201   0.005
2324.80196  16.210   0.005
2324.81292  16.213   0.005
2324.82652  16.220   0.005
2324.84208  16.228   0.005
2324.85335  16.228   0.006
2324.86428  16.232   0.006
2325.64282  16.237   0.006
2325.65379  16.259   0.006
2325.66905  16.290   0.006
2325.68344  16.322   0.006
2325.69743  16.356   0.006
2325.70839  16.383   0.006
2325.71926  16.405   0.005
2325.73013  16.425   0.005
2325.74486  16.426   0.005
2325.75578  16.405   0.005
2325.76758  16.375   0.005
2325.77875  16.335   0.005
2325.78968  16.303   0.005
2325.80057  16.291   0.005
2325.81150  16.260   0.005
2325.82239  16.236   0.005
2325.83329  16.234   0.005
2326.60909  16.203   0.005
2326.61999  16.219   0.006
2326.63087  16.216   0.005
2326.64175  16.213   0.005
2326.65261  16.213   0.005
2326.66352  16.210   0.005
2326.67482  16.213   0.005
2326.68572  16.207   0.005
2326.69658  16.225   0.005
2326.70746  16.229   0.005
2326.71836  16.233   0.005
2326.72929  16.252   0.006
2326.74948  16.291   0.006
2326.76038  16.329   0.006
2326.77129  16.351   0.006
2326.78220  16.370   0.006
2326.79311  16.402   0.006
2326.80403  16.409   0.006
2327.61591  16.242   0.006
2327.62681  16.231   0.006
2327.63774  16.221   0.005
2327.64865  16.225   0.005
2327.65955  16.230   0.005
2327.67046  16.215   0.005
2327.68522  16.220   0.005
2327.70704  16.209   0.005
2327.71794  16.203   0.005
2327.72886  16.216   0.005
2327.73975  16.216   0.005
2327.75095  16.216   0.004
2327.76185  16.207   0.005
2327.77275  16.232   0.005
2327.78363  16.252   0.005
2327.79449  16.256   0.005
2327.80538  16.276   0.005
2328.63473  16.203   0.005
2328.64562  16.207   0.005
2328.65652  16.216   0.005
2328.66742  16.207   0.005
2328.67834  16.210   0.005
2328.68920  16.210   0.005
2328.70051  16.212   0.005
2328.71138  16.207   0.005
2328.72223  16.210   0.005
2328.73311  16.219   0.005
2328.74398  16.218   0.005
2328.75487  16.210   0.005
2328.76616  16.216   0.004
2328.77705  16.205   0.004
2328.78793  16.216   0.005
2328.79886  16.207   0.004
2328.80976  16.215   0.005
2328.82070  16.218   0.005
2329.62445  16.172   0.005
2329.63533  16.165   0.005
2329.64621  16.165   0.005
2329.65714  16.174   0.005
2329.66812  16.175   0.005
2329.67905  16.184   0.005
2329.69110  16.178   0.005
2329.70201  16.173   0.005
2329.71292  16.188   0.005
2329.72380  16.194   0.005
2329.73467  16.204   0.005
2329.74555  16.199   0.005
2329.75699  16.200   0.005
2329.76788  16.207   0.005
2329.77878  16.189   0.005
2329.78971  16.196   0.005
2329.80059  16.206   0.005
2329.81894  16.207   0.005
2329.82985  16.204   0.005
2329.84074  16.210   0.005
2330.59344  16.198   0.006
2330.60429  16.194   0.006
2330.61519  16.188   0.005
2330.62606  16.190   0.005
2330.63696  16.188   0.005
2330.64788  16.178   0.005
