2072.52713 20.116 0.119
2075.50996 20.026 0.128
2088.48518 20.051 0.126
2290.86145 20.219 0.087
2294.86969 20.085 0.094
2297.85174 20.023 0.068
2298.87204 20.077 0.093
2301.84447 20.050 0.100
2315.79095 21.062 0.236
2316.73699 20.083 0.100
2321.78448 20.070 0.099
2322.66090 20.136 0.120
2322.67841 19.880 0.100
2322.68932 20.101 0.109
2322.70024 19.873 0.080
2322.71112 19.870 0.079
2322.72201 19.934 0.078
2322.73291 19.982 0.076
2322.74482 19.653 0.057
2322.75569 19.939 0.076
2322.76657 19.913 0.074
2322.77746 19.770 0.059
2322.78831 20.035 0.078
2322.79917 19.968 0.080
2322.81102 19.971 0.083
2322.82192 20.118 0.095
2322.83281 20.072 0.096
2322.84374 20.236 0.118
2322.85467 20.023 0.102
2322.86961 19.936 0.092
2323.66700 19.822 0.077
2323.67788 20.086 0.101
2323.68884 19.896 0.076
2323.69979 19.968 0.081
2323.71142 19.970 0.084
2323.72443 20.053 0.080
2323.73531 19.965 0.072
2323.74620 20.050 0.095
2323.75713 19.944 0.070
2323.76800 19.919 0.066
2323.78314 20.008 0.076
2323.79404 19.847 0.067
2323.80495 19.871 0.069
2323.81588 19.902 0.066
2323.82674 19.914 0.070
2323.83765 19.901 0.078
2323.84980 19.956 0.085
2323.86073 20.095 0.105
2323.87160 19.897 0.089
2324.64795 19.945 0.094
2324.66305 20.174 0.127
2324.67734 20.007 0.090
2324.68826 19.822 0.075
2324.70218 19.839 0.077
2324.71306 19.832 0.090
2324.72399 19.964 0.084
2324.73489 19.836 0.071
2324.74592 19.800 0.068
2324.76154 20.006 0.077
2324.77295 19.939 0.068
2324.78389 19.879 0.069
2324.79474 20.096 0.077
2324.80565 20.078 0.086
2324.81660 20.008 0.086
2324.83020 20.160 0.112
2324.84574 19.920 0.098
2324.85703 20.093 0.123
2324.86795 19.931 0.108
2325.64652 19.790 0.098
2325.65744 20.175 0.139
2325.67270 19.959 0.110
2325.68710 19.821 0.086
2325.70114 20.145 0.113
2325.71205 20.032 0.089
2325.72292 20.075 0.093
2325.73381 19.961 0.082
2325.74851 20.019 0.086
2325.75945 19.966 0.075
2325.77123 20.017 0.082
2325.78243 19.883 0.076
2325.79336 20.017 0.087
2325.80426 19.912 0.082
2325.81517 19.738 0.080
2325.82610 19.642 0.069
2326.61275 19.972 0.115
2326.62363 20.190 0.135
2326.63451 19.978 0.101
2326.64543 19.965 0.097
2326.65626 19.818 0.084
2326.66719 19.833 0.082
2326.67850 19.847 0.078
2326.68938 19.793 0.077
2326.70025 20.004 0.080
2326.71116 20.016 0.093
2326.72206 19.884 0.100
2326.73297 19.764 0.092
2326.75315 19.836 0.079
2326.76403 19.945 0.086
2326.77496 19.930 0.098
2326.78591 20.074 0.098
2326.79680 20.222 0.115
2326.80769 20.060 0.101
2327.61958 20.050 0.126
2327.63048 19.899 0.107
2327.64141 19.759 0.093
2327.65232 19.757 0.093
2327.66325 19.969 0.103
2327.67413 20.140 0.119
2327.68891 20.141 0.109
2327.69981 20.053 0.092
2327.71071 20.034 0.093
2327.72161 19.820 0.071
2327.73252 19.871 0.067
2327.74340 19.786 0.062
2327.75462 19.879 0.069
