object_id,region,catalog_type,catalog_period,catalog_epoch,catalog_secondary_period,period_mode,sha256,file,bytes,n_observations,baseline_days,has_errors
OGLE-LMC-RRLYR-07604,LMC,RRab,0.5819506,457.48605,,fundamental,b7a219c95f462915418f5ba38408b4fe2112885ef0c950a8257cbb0e00a838a6,photometry/OGLE-LMC-RRLYR-07604.dat,18432,768,4083.8331399999997,True
OGLE-LMC-RRLYR-07605,LMC,RRc,0.3369474,457.48714,,first overtone,f80b508b4e1edefeeb8a451de21925cd49a536ad222ddfd7da4bc37dd4f85b4f,photometry/OGLE-LMC-RRLYR-07605.dat,18456,769,4083.83121,True
OGLE-LMC-RRLYR-07606,LMC,RRab,0.6315762,2261.13181,,fundamental,218b9fdf5ef10cfeceaadde9830f1e03c99a9fc2746891bffac3b95f3504d6e0,photometry/OGLE-LMC-RRLYR-07606.dat,3336,139,2279.8313799999996,True
OGLE-LMC-RRLYR-07607,LMC,RRc,0.3298178,457.66443,,first overtone,5a2973704b0b6861fd8503a0f865a998fcb7db104510150dcd1e73ac52cacfc0,photometry/OGLE-LMC-RRLYR-07607.dat,20472,853,4083.83084,True
OGLE-LMC-RRLYR-07608,LMC,RRab,0.5981137,2167.38645,,fundamental,0429fff0c20a6945f08ea9e69e7e986c95ca177de51be7a7f80080ff5d607d57,photometry/OGLE-LMC-RRLYR-07608.dat,12840,535,2373.75016,True
OGLE-LMC-RRLYR-07609,LMC,RRd,0.3828677,2167.53608,0.5141104,first overtone,d7358b7f0595c7ac05e06b4af3c2c2c1a7610c1b70a20e36597b225c211877ff,photometry/OGLE-LMC-RRLYR-07609.dat,9144,381,2373.7504,True
OGLE-LMC-RRLYR-07610,LMC,RRc,0.3137606,2167.74557,,first overtone,e202743ab6bba02e7e2fbb3a73e23091ceae79b5c5b52837f4e885fc105d36b0,photometry/OGLE-LMC-RRLYR-07610.dat,9168,382,2373.7504,True
OGLE-LMC-RRLYR-07611,LMC,RRe,0.2858934,2167.59,,catalog RRe,21718bc6e7abfe4d79df3a87b68eb490f9bfdfb06c6f52e2ba7d05f3300697fd,photometry/OGLE-LMC-RRLYR-07611.dat,8664,361,2373.7499999999995,True
OGLE-LMC-RRLYR-07612,LMC,RRab,0.5202674,457.6042,,fundamental,169ebf5691162176d44594a32487b133af588a37b15f553a04a1f8ce2b11ede8,photometry/OGLE-LMC-RRLYR-07612.dat,18384,766,4083.83268,True
OGLE-LMC-RRLYR-07613,LMC,RRab,0.5922968,299.6818,,fundamental,5cdc3d369ba78d596d28ecece9b0cc2d0b4ec67357f4228b336d1efeb84c6b81,photometry/OGLE-LMC-RRLYR-07613.dat,1344,56,1922.86053,True
OGLE-LMC-RRLYR-07614,LMC,RRc,0.3633279,2167.57412,,first overtone,5b706385ca0e33fb236f20a11d1c44e4a76c643ca7d58846a06678687b9bdea3,photometry/OGLE-LMC-RRLYR-07614.dat,8664,361,2373.7499999999995,True
OGLE-LMC-RRLYR-07615,LMC,RRab,0.456797,2167.48596,,fundamental,ecea258fb69f67ee6218f0a16fe7ce14c697ac23d4c1b568fc88d63050d4d689,photometry/OGLE-LMC-RRLYR-07615.dat,8952,373,2373.7506999999996,True
OGLE-LMC-RRLYR-07616,LMC,RRab,0.6634392,299.92251,,fundamental,6bb939bfa5b3b15584ce5ffcac7cff9d9fa048d4360535d81adb22c1aa6f7984,photometry/OGLE-LMC-RRLYR-07616.dat,1296,54,1922.86053,True
OGLE-LMC-RRLYR-07617,LMC,RRab,0.474018,457.31881,,fundamental,062da6922e6094d28fbcb795f8331d4d1f94895a267d9b896d2b58c3d76ad723,photometry/OGLE-LMC-RRLYR-07617.dat,18480,770,4083.83094,True
OGLE-LMC-RRLYR-07618,LMC,RRc,0.3194548,2167.79524,,first overtone,f39d33ac5cc963ae785290f72081ff59ed4578376e85b43afacccfb8160c915f,photometry/OGLE-LMC-RRLYR-07618.dat,8664,361,2373.7499999999995,True
