object_id,region,catalog_type,catalog_period,catalog_epoch,catalog_secondary_period,period_mode,sha256,file,bytes,n_observations,baseline_days,has_errors,eligible,exclusion_reason
OGLE-LMC-RRLYR-13036,LMC,RRc,0.2882784,455.59221,,first overtone,6ee76b5e71882fa2e326ab43b24c81a813a5a05160105ed865d406376f219ec1,photometry/OGLE-LMC-RRLYR-13036.dat,27696,1154,4085.9756399999997,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-13044,LMC,RRab,0.5198469,2123.40923,,fundamental,15a525e04b256dc645146ce554cd21e6ab8c62aebfa1295afe8157eb01a2f3d0,photometry/OGLE-LMC-RRLYR-13044.dat,22680,945,2417.71515,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-13045,LMC,RRab,0.6004225,455.23442,,fundamental,98d384f934c719148fa5e31f67f4f74728397a2bcaa28def13d85543c9ac7de5,photometry/OGLE-LMC-RRLYR-13045.dat,21072,878,4085.94569,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-13051,LMC,RRab,0.67115,455.66088,,fundamental,b7d62708f4f3778efdfc6b78f4e1fe5cdc9b12deae35b05c26fb3eaf6959ee49,photometry/OGLE-LMC-RRLYR-13051.dat,18408,767,4083.8367300000004,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-13058,LMC,RRab,0.564876,455.64211,,fundamental,d3dde8f94e91ad89a2715dfde14ee341a326d03ff1c3a03edea325b4f5b9dbe6,photometry/OGLE-LMC-RRLYR-13058.dat,29280,1220,4085.9690900000005,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-13068,LMC,RRab,0.5454526,455.39399,,fundamental,063f00a07fa2d2743938c2bd2262455cdcd300cebf1a7327e0296d09554134b8,photometry/OGLE-LMC-RRLYR-13068.dat,30312,1263,4085.9683000000005,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-13070,LMC,RRab,0.5876419,455.41162,,fundamental,01208badc7a88716f02472386b927388282b9d015ae404df0af90f0fcdad126e,photometry/OGLE-LMC-RRLYR-13070.dat,27288,1137,4085.9732599999998,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-13074,LMC,RRc,0.3589864,2167.61148,,first overtone,fc76db89dc3a0becca7149cdeb69c811559a1dcfb7b0006cfab5224c90e4ff60,photometry/OGLE-LMC-RRLYR-13074.dat,18456,769,2373.77994,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-13076,LMC,RRab,0.5895841,2167.83692,,fundamental,0e117d896202fa6950014986324e6529f9de18b8b43a2a531a92f1a1c08ba741,photometry/OGLE-LMC-RRLYR-13076.dat,8928,372,2373.7800699999993,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-13077,LMC,RRab,0.5899912,455.49994,,fundamental,206562b19a20d19cab04b401bcd3a5b8831560a03c9010bd9413b2772de7aacc,photometry/OGLE-LMC-RRLYR-13077.dat,30048,1252,4085.9749199999997,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-13099,LMC,RRab,0.5874285,455.25506,,fundamental,f897b3c321afa999ce9f165a7c8039ecdde3f936278ebfe8de621e3b69867bce,photometry/OGLE-LMC-RRLYR-13099.dat,29160,1215,4085.97484,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-13114,LMC,RRab,0.611023,455.37518,,fundamental,306a94a7979de34c0b9f0e56a242ec32e64751fa350762966b71ef15182bf190,photometry/OGLE-LMC-RRLYR-13114.dat,30000,1250,4085.9755299999997,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-13144,LMC,RRab,0.4476322,455.24315,,fundamental,c3a4b93516f453db7f276077942a030d6d89dadc5bb9dd14a0b87aeb58aa014f,photometry/OGLE-LMC-RRLYR-13144.dat,26016,1084,4085.9694000000004,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-13150,LMC,RRc,0.354966,831.34305,,first overtone,fbbe7c9a67ec045ceee18670c7bafbb47ca84943f1db8eacd3e3028737c3c62b,photometry/OGLE-LMC-RRLYR-13150.dat,28032,1168,3710.01889,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-13170,LMC,RRc,0.31059,2167.58862,,first overtone,22a7f9930f42c13a2e8962a5e910a402d57127236e6bdfbe423e9f0050f5c6a1,photometry/OGLE-LMC-RRLYR-13170.dat,19176,799,2373.7835200000004,True,False,Exact duplicate folded phases
OGLE-LMC-RRLYR-13180,LMC,RRc,0.2920245,831.56643,,first overtone,3c9a692d08617e4cf61e8b1a0ba5aab045a48a9fc27cc3acf88132ae62477fbf,photometry/OGLE-LMC-RRLYR-13180.dat,26376,1099,3710.01801,True,False,Exact duplicate folded phases
